emp_no,gender,marital_status,age_band,age,department,education,education_field,job_role,business_travel,employee_count,attrition,attrition_label,job_satisfaction,active_employee
10370,Male,Single,25 - 34,31,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1
10371,Female,Single,Under 25,21,Sales,Bachelor's Degree,Life Sciences,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,2,0
10372,Male,Single,25 - 34,29,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10373,Male,Single,35 - 44,35,R&D,Master's Degree,Life Sciences,Healthcare Representative,Travel_Rarely,1,No,Current Employees,2,1
10374,Male,Divorced,25 - 34,27,R&D,Associates Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,2,1
10375,Male,Single,25 - 34,28,Sales,Master's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10376,Male,Single,45 - 54,49,R&D,Bachelor's Degree,Other,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1
10377,Female,Married,45 - 54,51,Sales,Associates Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10378,Female,Married,35 - 44,36,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1
10379,Male,Single,25 - 34,34,Sales,Bachelor's Degree,Marketing,Sales Executive,Non-Travel,1,Yes,Ex-Employees,4,0
10380,Female,Single,Over 55,55,R&D,Bachelor's Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,4,1
10381,Female,Divorced,Under 25,24,Sales,Master's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1
10382,Male,Married,25 - 34,30,Sales,High School,Technical Degree,Sales Representative,Travel_Rarely,1,No,Current Employees,2,1
10383,Male,Single,25 - 34,26,R&D,High School,Technical Degree,Research Scientist,Travel_Frequently,1,Yes,Ex-Employees,1,0
10384,Female,Married,Under 25,22,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1
10385,Male,Married,35 - 44,36,Sales,Associates Degree,Medical,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1
10386,Male,Single,25 - 34,30,R&D,Bachelor's Degree,Technical Degree,Research Scientist,Travel_Frequently,1,Yes,Ex-Employees,4,0
10387,Female,Divorced,35 - 44,37,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1
10388,Female,Divorced,35 - 44,40,Sales,Associates Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,2,1
10389,Female,Divorced,35 - 44,42,R&D,Master's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1
10390,Male,Single,35 - 44,37,R&D,Master's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,2,1
10391,Male,Divorced,35 - 44,43,R&D,Bachelor's Degree,Life Sciences,Research Director,Travel_Rarely,1,No,Current Employees,2,1
10392,Female,Married,35 - 44,40,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1
10393,Male,Married,45 - 54,54,R&D,Associates Degree,Medical,Research Director,Travel_Rarely,1,No,Current Employees,1,1
10394,Female,Married,25 - 34,34,Sales,Master's Degree,Marketing,Sales Executive,Non-Travel,1,No,Current Employees,3,1
10395,Female,Married,25 - 34,31,R&D,Associates Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,1,1
10396,Male,Married,35 - 44,43,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Frequently,1,No,Current Employees,4,1
10397,Female,Divorced,35 - 44,43,R&D,Master's Degree,Other,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1
10398,Female,Single,25 - 34,25,Sales,Associates Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10399,Female,Married,35 - 44,37,R&D,Doctoral Degree,Medical,Research Scientist,Non-Travel,1,No,Current Employees,3,1
10400,Male,Married,25 - 34,31,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1
10401,Male,Divorced,35 - 44,39,R&D,High School,Life Sciences,Manager,Travel_Frequently,1,No,Current Employees,3,1
10402,Female,Married,Over 55,56,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,1,1
10403,Female,Single,25 - 34,30,Sales,Bachelor's Degree,Technical Degree,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1
10404,Male,Married,35 - 44,41,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1
10405,Male,Divorced,25 - 34,28,R&D,Associates Degree,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1
10406,Male,Married,25 - 34,25,R&D,Bachelor's Degree,Medical,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,1,0
10407,Male,Married,45 - 54,52,R&D,Bachelor's Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,3,1
10408,Male,Married,45 - 54,45,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10409,Female,Married,45 - 54,52,R&D,Associates Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,4,1
10410,Female,Divorced,35 - 44,42,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Frequently,1,No,Current Employees,3,1
10411,Female,Single,25 - 34,30,R&D,Bachelor's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,4,1
10412,Female,Married,Over 55,60,R&D,Bachelor's Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,1,1
10413,Female,Divorced,45 - 54,46,R&D,Bachelor's Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,3,1
10414,Female,Married,35 - 44,42,R&D,Master's Degree,Technical Degree,Healthcare Representative,Travel_Frequently,1,No,Current Employees,4,1
10415,Female,Single,Under 25,24,Sales,High School,Technical Degree,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,2,0
10416,Female,Divorced,25 - 34,34,Sales,Associates Degree,Marketing,Sales Representative,Travel_Frequently,1,Yes,Ex-Employees,3,0
10417,Male,Married,35 - 44,38,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Frequently,1,No,Current Employees,4,1
10418,Female,Married,35 - 44,40,Sales,Master's Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,3,1
10419,Female,Divorced,25 - 34,26,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10420,Male,Married,25 - 34,30,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Non-Travel,1,No,Current Employees,4,1
10421,Male,Married,25 - 34,29,R&D,Master's Degree,Medical,Research Director,Travel_Rarely,1,No,Current Employees,3,1
10422,Female,Married,25 - 34,29,R&D,Doctoral Degree,Technical Degree,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,2,0
10423,Male,Single,Under 25,19,HR,Associates Degree,Technical Degree,Human Resources,Travel_Rarely,1,Yes,Ex-Employees,4,0
10424,Female,Married,25 - 34,30,Sales,Master's Degree,Other,Sales Executive,Non-Travel,1,No,Current Employees,1,1
10425,Male,Divorced,Over 55,57,Sales,Bachelor's Degree,Marketing,Manager,Travel_Rarely,1,No,Current Employees,4,1
10426,Male,Married,45 - 54,50,R&D,Master's Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,3,1
10427,Female,Single,25 - 34,30,R&D,Bachelor's Degree,Medical,Laboratory Technician,Non-Travel,1,No,Current Employees,4,1
10428,Female,Married,Over 55,60,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Frequently,1,No,Current Employees,1,1
10429,Female,Divorced,45 - 54,47,R&D,Associates Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,4,1
10430,Male,Married,45 - 54,46,R&D,Bachelor's Degree,Life Sciences,Research Director,Travel_Rarely,1,No,Current Employees,3,1
10431,Male,Single,35 - 44,35,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1
10432,Female,Single,45 - 54,54,R&D,Master's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1
10433,Male,Divorced,25 - 34,34,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1
10434,Female,Married,45 - 54,46,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10435,Male,Divorced,25 - 34,31,R&D,High School,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,2,1
10436,Male,Married,25 - 34,33,R&D,High School,Medical,Manager,Travel_Rarely,1,Yes,Ex-Employees,3,0
10437,Male,Divorced,25 - 34,33,R&D,High School,Medical,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,4,0
10438,Male,Single,25 - 34,30,Sales,High School,Marketing,Sales Representative,Travel_Rarely,1,No,Current Employees,2,1
10439,Male,Married,35 - 44,35,R&D,Bachelor's Degree,Life Sciences,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1
10440,Male,Married,25 - 34,31,R&D,Bachelor's Degree,Life Sciences,Healthcare Representative,Travel_Frequently,1,Yes,Ex-Employees,3,0
10441,Female,Divorced,25 - 34,34,HR,Bachelor's Degree,Human Resources,Human Resources,Travel_Frequently,1,Yes,Ex-Employees,1,0
10442,Male,Married,35 - 44,42,R&D,Associates Degree,Other,Laboratory Technician,Travel_Frequently,1,No,Current Employees,3,1
10443,Male,Single,35 - 44,36,Sales,Master's Degree,Medical,Sales Executive,Non-Travel,1,No,Current Employees,4,1
10444,Male,Single,Under 25,22,R&D,High School,Technical Degree,Laboratory Technician,Travel_Frequently,1,Yes,Ex-Employees,3,0
10445,Female,Married,45 - 54,48,Sales,Doctoral Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10446,Female,Single,Over 55,55,Sales,Doctoral Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,2,1
10447,Male,Single,35 - 44,41,Sales,Associates Degree,Life Sciences,Sales Executive,Non-Travel,1,No,Current Employees,4,1
10448,Male,Married,35 - 44,35,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1
10449,Female,Single,35 - 44,40,R&D,Bachelor's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,3,1
10450,Female,Married,35 - 44,39,R&D,High School,Life Sciences,Laboratory Technician,Travel_Frequently,1,No,Current Employees,3,1
10451,Male,Single,25 - 34,31,Sales,High School,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10452,Male,Married,35 - 44,42,R&D,Bachelor's Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,1,1
10453,Male,Married,45 - 54,45,Sales,Bachelor's Degree,Other,Sales Executive,Travel_Rarely,1,No,Current Employees,2,1
10454,Female,Divorced,25 - 34,26,HR,Master's Degree,Life Sciences,Human Resources,Travel_Frequently,1,Yes,Ex-Employees,3,0
10455,Male,Divorced,25 - 34,29,R&D,Bachelor's Degree,Technical Degree,Manufacturing Director,Travel_Rarely,1,No,Current Employees,4,1
10456,Female,Divorced,25 - 34,33,R&D,Doctoral Degree,Medical,Research Director,Travel_Rarely,1,No,Current Employees,3,1
10457,Male,Divorced,25 - 34,31,Sales,Bachelor's Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,4,1
10458,Male,Single,Under 25,18,Sales,Bachelor's Degree,Marketing,Sales Representative,Travel_Frequently,1,Yes,Ex-Employees,2,0
10459,Male,Divorced,35 - 44,40,Sales,Bachelor's Degree,Other,Sales Executive,Non-Travel,1,No,Current Employees,1,1
10460,Female,Single,35 - 44,41,R&D,Master's Degree,Other,Healthcare Representative,Non-Travel,1,No,Current Employees,3,1
10461,Male,Divorced,25 - 34,26,Sales,Associates Degree,Medical,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1
10462,Female,Single,35 - 44,35,Sales,Bachelor's Degree,Medical,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1
10463,Male,Single,25 - 34,34,Sales,Master's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10464,Male,Single,25 - 34,26,R&D,Bachelor's Degree,Technical Degree,Laboratory Technician,Travel_Rarely,1,Yes,Ex-Employees,4,0
10465,Female,Single,35 - 44,37,R&D,Bachelor's Degree,Technical Degree,Manufacturing Director,Travel_Rarely,1,No,Current Employees,4,1
10466,Female,Married,45 - 54,46,R&D,High School,Medical,Healthcare Representative,Travel_Frequently,1,No,Current Employees,3,1
10467,Female,Married,35 - 44,41,Sales,Doctoral Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,1,1
10468,Male,Divorced,35 - 44,37,Sales,Master's Degree,Medical,Sales Executive,Non-Travel,1,No,Current Employees,2,1
10469,Male,Divorced,45 - 54,52,R&D,Associates Degree,Technical Degree,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1
10470,Male,Married,25 - 34,32,Sales,Master's Degree,Other,Sales Executive,Non-Travel,1,Yes,Ex-Employees,3,0
10471,Male,Married,Under 25,24,Sales,Bachelor's Degree,Medical,Sales Representative,Travel_Frequently,1,No,Current Employees,4,1
10472,Female,Married,35 - 44,38,R&D,Bachelor's Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1
10473,Female,Married,35 - 44,37,R&D,Master's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,2,1
10474,Male,Divorced,45 - 54,49,R&D,Master's Degree,Life Sciences,Research Director,Travel_Rarely,1,No,Current Employees,3,1
10475,Male,Married,Under 25,24,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10476,Male,Married,25 - 34,26,Sales,Associates Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,2,1
10477,Male,Married,Under 25,24,R&D,Associates Degree,Other,Laboratory Technician,Travel_Rarely,1,No,Current Employees,2,1
10478,Male,Married,45 - 54,50,HR,Bachelor's Degree,Medical,Manager,Travel_Frequently,1,No,Current Employees,2,1
10479,Male,Married,25 - 34,25,Sales,High School,Medical,Sales Representative,Travel_Rarely,1,No,Current Employees,3,1
10480,Female,Married,Under 25,24,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Frequently,1,Yes,Ex-Employees,3,0
10481,Male,Married,25 - 34,30,Sales,Master's Degree,Life Sciences,Sales Representative,Travel_Frequently,1,Yes,Ex-Employees,1,0
10482,Male,Married,25 - 34,34,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10483,Male,Divorced,25 - 34,31,Sales,Master's Degree,Medical,Sales Executive,Travel_Rarely,1,Yes,Ex-Employees,1,0
10484,Male,Single,35 - 44,35,R&D,Associates Degree,Other,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1
10485,Male,Divorced,25 - 34,31,Sales,Master's Degree,Medical,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10486,Female,Divorced,25 - 34,27,R&D,Master's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1
10487,Male,Married,35 - 44,37,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1
10488,Female,Single,Under 25,20,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,2,1
10489,Female,Married,35 - 44,42,R&D,Master's Degree,Life Sciences,Healthcare Representative,Travel_Rarely,1,No,Current Employees,4,1
10490,Male,Divorced,35 - 44,43,R&D,Master's Degree,Other,Research Director,Travel_Rarely,1,No,Current Employees,4,1
10491,Female,Single,35 - 44,38,R&D,High School,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1
10492,Male,Divorced,35 - 44,43,R&D,Doctoral Degree,Medical,Laboratory Technician,Travel_Frequently,1,No,Current Employees,3,1
10493,Female,Married,45 - 54,48,R&D,Master's Degree,Life Sciences,Manager,Travel_Rarely,1,No,Current Employees,1,1
10494,Female,Single,35 - 44,44,HR,Master's Degree,Life Sciences,Human Resources,Travel_Rarely,1,No,Current Employees,3,1
10495,Female,Divorced,25 - 34,34,Sales,Bachelor's Degree,Technical Degree,Sales Representative,Travel_Rarely,1,No,Current Employees,3,1
10496,Male,Divorced,25 - 34,27,Sales,High School,Marketing,Sales Representative,Travel_Rarely,1,Yes,Ex-Employees,1,0
10497,Male,Single,Under 25,21,Sales,High School,Technical Degree,Sales Representative,Travel_Rarely,1,No,Current Employees,3,1
10498,Male,Married,35 - 44,44,R&D,Master's Degree,Other,Manager,Travel_Rarely,1,No,Current Employees,4,1
10499,Male,Married,Under 25,22,R&D,High School,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1
10500,Male,Divorced,25 - 34,33,Sales,Master's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1
10501,Female,Married,25 - 34,32,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10502,Female,Divorced,25 - 34,30,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Frequently,1,No,Current Employees,3,1
10503,Female,Single,45 - 54,53,Sales,High School,Medical,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1
10504,Male,Married,25 - 34,34,R&D,Doctoral Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10505,Female,Married,45 - 54,45,Sales,Master's Degree,Life Sciences,Sales Executive,Travel_Frequently,1,Yes,Ex-Employees,1,0
10506,Female,Married,25 - 34,26,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1
10507,Male,Married,35 - 44,37,R&D,Bachelor's Degree,Other,Manufacturing Director,Travel_Rarely,1,No,Current Employees,3,1
10508,Female,Married,25 - 34,29,Sales,Associates Degree,Medical,Sales Executive,Travel_Rarely,1,No,Current Employees,3,1
10509,Male,Single,35 - 44,35,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10510,Male,Divorced,25 - 34,33,R&D,Bachelor's Degree,Life Sciences,Healthcare Representative,Travel_Frequently,1,No,Current Employees,4,1
10511,Male,Married,45 - 54,54,HR,Master's Degree,Medical,Human Resources,Travel_Rarely,1,No,Current Employees,2,1
10512,Male,Divorced,35 - 44,36,R&D,Associates Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,2,1
10513,Male,Single,25 - 34,27,R&D,Master's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10514,Male,Single,Under 25,20,R&D,High School,Medical,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,3,0
10515,Male,Single,25 - 34,33,R&D,Bachelor's Degree,Life Sciences,Research Scientist,Travel_Frequently,1,Yes,Ex-Employees,1,0
10516,Male,Married,35 - 44,35,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Non-Travel,1,No,Current Employees,3,1
10517,Male,Married,Under 25,23,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1
10518,Male,Married,25 - 34,25,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Rarely,1,No,Current Employees,2,1
10519,Female,Single,35 - 44,38,Sales,Master's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10520,Male,Divorced,25 - 34,29,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Frequently,1,No,Current Employees,4,1
10521,Male,Married,45 - 54,48,Sales,High School,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,2,1
10522,Female,Divorced,25 - 34,27,Sales,High School,Medical,Sales Executive,Travel_Frequently,1,No,Current Employees,4,1
10523,Male,Single,35 - 44,37,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10524,Male,Married,45 - 54,50,R&D,High School,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1
10525,Female,Single,25 - 34,34,R&D,Bachelor's Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,2,1
10526,Female,Single,Under 25,24,Sales,Associates Degree,Life Sciences,Sales Executive,Travel_Rarely,1,Yes,Ex-Employees,3,0
10527,Female,Single,35 - 44,39,R&D,Master's Degree,Technical Degree,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1
10528,Male,Single,25 - 34,32,Sales,Bachelor's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10529,Male,Married,45 - 54,50,Sales,Associates Degree,Technical Degree,Sales Executive,Travel_Frequently,1,Yes,Ex-Employees,3,0
10530,Female,Single,35 - 44,38,R&D,Master's Degree,Life Sciences,Healthcare Representative,Travel_Rarely,1,No,Current Employees,4,1
10531,Female,Married,25 - 34,27,R&D,Associates Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,1,1
10532,Female,Single,25 - 34,32,R&D,Associates Degree,Life Sciences,Research Director,Travel_Rarely,1,No,Current Employees,4,1
10533,Male,Single,45 - 54,47,Sales,Master's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1
10534,Male,Married,35 - 44,40,Sales,Master's Degree,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,1,1
10535,Male,Married,45 - 54,53,R&D,Bachelor's Degree,Life Sciences,Research Director,Travel_Rarely,1,No,Current Employees,3,1
10536,Male,Divorced,35 - 44,41,HR,Master's Degree,Human Resources,Manager,Travel_Rarely,1,No,Current Employees,4,1
10537,Male,Single,Over 55,60,Sales,Master's Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,1,1
10538,Male,Divorced,25 - 34,27,R&D,Associates Degree,Life Sciences,Manufacturing Director,Travel_Frequently,1,No,Current Employees,1,1
10539,Male,Married,35 - 44,41,HR,Bachelor's Degree,Human Resources,Manager,Travel_Rarely,1,No,Current Employees,3,1
10540,Male,Married,45 - 54,50,Sales,Master's Degree,Marketing,Sales Representative,Travel_Rarely,1,No,Current Employees,2,1
10541,Female,Single,25 - 34,28,R&D,Associates Degree,Life Sciences,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,2,0
10542,Female,Married,35 - 44,36,R&D,Bachelor's Degree,Life Sciences,Research Director,Non-Travel,1,No,Current Employees,1,1
10543,Female,Single,35 - 44,38,R&D,Bachelor's Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,3,1
10544,Male,Single,35 - 44,44,R&D,Bachelor's Degree,Medical,Laboratory Technician,Non-Travel,1,No,Current Employees,3,1
10545,Female,Divorced,45 - 54,47,Sales,Bachelor's Degree,Medical,Sales Executive,Travel_Frequently,1,No,Current Employees,3,1
10546,Male,Divorced,25 - 34,30,Sales,Doctoral Degree,Marketing,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10547,Male,Single,25 - 34,29,Sales,Bachelor's Degree,Life Sciences,Sales Representative,Travel_Rarely,1,No,Current Employees,3,1
10548,Male,Divorced,35 - 44,42,R&D,Bachelor's Degree,Medical,Research Scientist,Travel_Frequently,1,Yes,Ex-Employees,3,0
10549,Male,Married,35 - 44,43,Sales,Bachelor's Degree,Life Sciences,Sales Executive,Travel_Frequently,1,No,Current Employees,4,1
10550,Female,Single,25 - 34,34,R&D,Associates Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1
10551,Male,Married,Under 25,23,R&D,High School,Medical,Laboratory Technician,Travel_Rarely,1,No,Current Employees,1,1
10552,Female,Married,35 - 44,39,HR,Bachelor's Degree,Human Resources,Human Resources,Travel_Rarely,1,No,Current Employees,2,1
10553,Male,Married,Over 55,56,R&D,Bachelor's Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,4,1
10554,Female,Single,35 - 44,40,R&D,High School,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10555,Female,Single,25 - 34,27,R&D,Bachelor's Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,1,1
10556,Male,Divorced,25 - 34,29,Sales,Bachelor's Degree,Marketing,Sales Representative,Travel_Rarely,1,No,Current Employees,2,1
10557,Male,Single,45 - 54,53,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,4,1
10558,Female,Divorced,35 - 44,35,R&D,Master's Degree,Life Sciences,Healthcare Representative,Non-Travel,1,No,Current Employees,1,1
10559,Male,Married,25 - 34,32,R&D,Master's Degree,Life Sciences,Laboratory Technician,Travel_Frequently,1,No,Current Employees,4,1
10560,Male,Married,35 - 44,38,R&D,Doctoral Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1
10561,Female,Divorced,25 - 34,34,R&D,Doctoral Degree,Life Sciences,Manufacturing Director,Travel_Rarely,1,No,Current Employees,1,1
10562,Male,Married,45 - 54,52,Sales,Master's Degree,Marketing,Manager,Travel_Rarely,1,No,Current Employees,1,1
10563,Male,Single,25 - 34,33,R&D,Master's Degree,Other,Research Scientist,Travel_Rarely,1,Yes,Ex-Employees,4,0
10564,Female,Single,25 - 34,25,Sales,High School,Medical,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10565,Male,Single,45 - 54,45,Sales,Associates Degree,Technical Degree,Sales Representative,Travel_Rarely,1,No,Current Employees,3,1
10566,Male,Single,Under 25,23,R&D,High School,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,3,1
10567,Female,Single,45 - 54,47,Sales,Associates Degree,Life Sciences,Sales Executive,Travel_Frequently,1,Yes,Ex-Employees,3,0
10568,Male,Single,25 - 34,34,Sales,Bachelor's Degree,Other,Sales Executive,Travel_Rarely,1,No,Current Employees,4,1
10569,Male,Married,Over 55,55,R&D,Bachelor's Degree,Medical,Manager,Travel_Rarely,1,Yes,Ex-Employees,1,0
10570,Male,Single,35 - 44,36,Sales,Master's Degree,Life Sciences,Sales Executive,Non-Travel,1,No,Current Employees,1,1
10571,Male,Married,45 - 54,52,R&D,Master's Degree,Medical,Research Scientist,Non-Travel,1,No,Current Employees,4,1
10572,Female,Divorced,25 - 34,26,R&D,Associates Degree,Life Sciences,Laboratory Technician,Travel_Frequently,1,No,Current Employees,4,1
10573,Female,Married,25 - 34,29,R&D,Bachelor's Degree,Medical,Healthcare Representative,Travel_Rarely,1,No,Current Employees,3,1
10574,Male,Single,25 - 34,26,Sales,Bachelor's Degree,Technical Degree,Sales Executive,Travel_Rarely,1,Yes,Ex-Employees,1,0
10575,Female,Single,25 - 34,34,R&D,Master's Degree,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,4,1
10576,Female,Divorced,45 - 54,54,R&D,Master's Degree,Medical,Manufacturing Director,Travel_Rarely,1,No,Current Employees,1,1
10577,Male,Married,25 - 34,27,Sales,High School,Marketing,Sales Executive,Travel_Frequently,1,No,Current Employees,4,1
10578,Female,Divorced,35 - 44,37,R&D,High School,Life Sciences,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1
10579,Female,Single,35 - 44,38,R&D,Master's Degree,Life Sciences,Manufacturing Director,Travel_Frequently,1,No,Current Employees,1,1
10580,Female,Single,25 - 34,34,R&D,Master's Degree,Medical,Research Scientist,Travel_Rarely,1,No,Current Employees,1,1
10581,Female,Married,35 - 44,35,Sales,Master's Degree,Life Sciences,Sales Representative,Travel_Rarely,1,No,Current Employees,4,1
10582,Male,Married,25 - 34,30,R&D,Bachelor's Degree,Life Sciences,Laboratory Technician,Travel_Rarely,1,No,Current Employees,3,1
